Date,Quantity,Tonnage(kg),Average Weight,Actual Price per kg,Total Sales,Population of DOCs Given,Cost Per DOC,Total Cost of DOC,Actual Feed Amount Received by Farmer,Total Cost of Feed,Cost of Material,Quantity of Material,Total Material Cost
2023-06-01,4297,8068.3,1.8191666666666666,21675.0,177899580,32500.0,8233.333333333334,266850000.0,960.0,412000000.0,49333.333333333336,24.0,904000.0
2023-06-02,11118,19555.7,1.8877777777777778,22122.222222222223,434007950,32500.0,8233.333333333334,266850000.0,960.0,412000000.0,49333.333333333336,24.0,904000.0
2023-06-03,9434,17566.5,1.9262962962962962,21625.925925925927,379716770,10000.0,8250.0,82500000.0,480.0,206400000.0,72600.0,75.0,3574000.0
2023-06-04,5358,11206.0,2.1100000000000003,21795.0,244158250,9000.0,8350.0,75150000.0,480.0,206400000.0,72600.0,75.0,3574000.0
2023-06-05,11458,20335.0,1.786153846153846,20930.76923076923,431674800,9000.0,8350.0,75150000.0,800.0,344400000.0,76200.0,16.0,1208000.0
2023-06-06,9220,17340.8,1.921578947368421,21200.0,367488470,61300.0,8185.714285714285,501675000.0,960.0,416200000.0,45110.4375,18209.0,8201842.0
2023-06-07,10620,19054.3,1.7935999999999999,21356.0,406863010,25000.0,8000.0,200500000.0,960.0,414900000.0,101231.90909090909,145.0,5714265.0
2023-06-08,4894,8937.9,1.764375,20656.25,189879600,15000.0,8050.0,120750000.0,480.0,206000000.0,51768.875,11784.2,15038543.0
2023-06-09,4175,6023.3,1.4225,20012.5,126911350,15000.0,8050.0,120750000.0,800.0,344200000.0,51768.875,11784.2,15038543.0
2023-06-10,2840,3382.2999999999997,1.1925,21500.0,72719450,28300.0,8125.0,230110000.0,640.0,276000000.0,50450.5,50.0,1383705.0
2023-06-11,1634,2673.6,1.73,21400.0,57182400,28300.0,8125.0,230110000.0,0.0,0.0,50450.5,50.0,1383705.0
2023-06-12,12728,26506.3,2.2046875,21806.25,577512200,28300.0,8125.0,230110000.0,960.0,416600000.0,64325.48387096774,11184.0,9101249.0
2023-06-13,6595,15431.5,2.3484210526315787,21894.736842105263,337546500,28300.0,8125.0,230110000.0,800.0,345400000.0,64325.48387096774,11184.0,9101249.0
2023-06-14,11189,22470.9,2.0380555555555557,22283.333333333332,500695350,13000.0,8350.0,108550000.0,320.0,137600000.0,103987.5,35.0,2919000.0
2023-06-15,21440,36933.8,1.8001960784313726,22390.196078431374,828671370,13000.0,8350.0,108550000.0,480.0,206000000.0,67330.66666666667,118.0,4442468.0
2023-06-16,9615,17450.4,1.811785714285714,22310.714285714286,389799980,8000.0,7825.0,63750000.0,480.0,206400000.0,28700.0,65.0,1899100.0
2023-06-17,4505,8025.3,1.9407142857142858,22064.285714285714,181698550,8000.0,7825.0,63750000.0,640.0,275800000.0,90000.0,16.0,1440000.0
2023-06-18,9081,18208.5,2.060909090909091,23340.909090909092,428498320,15000.0,8125.0,121875000.0,0.0,0.0,90000.0,16.0,1440000.0
2023-06-19,10651,20131.2,2.1055,23285.0,468825110,15000.0,8125.0,121875000.0,960.0,414000000.0,76200.0,29.0,2183200.0
2023-06-20,7837,15837.300000000001,2.1216666666666666,22894.444444444445,363116940,25000.0,8450.0,211000000.0,960.0,414600000.0,57437.230769230766,14585.0,4202433.0
2023-06-21,4167,9017.2,2.195,22760.0,205558720,27000.0,8500.0,230000000.0,800.0,344500000.0,51992.933333333334,520.3,18467760.0
2023-06-22,22154,41911.0,2.020967741935484,22327.41935483871,937579370,7500.0,7400.0,55500000.0,640.0,275900000.0,52761.9,200.8,4970449.0
2023-06-23,19597,34806.4,1.8888888888888888,22162.962962962964,775454910,7500.0,7400.0,55500000.0,640.0,277200000.0,54419.6,112.0,3183754.0
2023-06-24,6902,10342.7,2.1004761904761904,22947.619047619046,242365500,10000.0,8195.0,81950000.0,640.0,274800000.0,54419.6,112.0,3183754.0
2023-06-25,7520,13052.1,1.8285714285714287,22864.285714285714,296292500,10000.0,8195.0,81950000.0,640.0,274800000.0,54419.6,112.0,3183754.0
2023-06-26,11979,19857.2,1.9113636363636362,23081.81818181818,462983400,10000.0,8195.0,81950000.0,1280.0,552400000.0,54419.6,112.0,3183754.0
2023-06-27,6905,13411.4,1.8604545454545454,21877.272727272728,300253990,10000.0,8195.0,81950000.0,800.0,349550000.0,57000.0,98.0,3635000.0
2023-06-28,6839,12497.1,1.866,22310.0,278821320,25000.0,8600.0,215000000.0,1280.0,551275000.0,57000.0,98.0,3635000.0
2023-06-29,6832,14069.8,2.0408,22092.0,313028820,19500.0,8319.0,158745000.0,0.0,0.0,57000.0,98.0,3635000.0
2023-06-30,4314,9481.6,2.1973333333333334,22200.0,210363460,19500.0,8319.0,158745000.0,960.0,415700000.0,62941.72,266.8,8188081.0
2023-07-01,5842,11440.1,2.0561904761904763,22214.285714285714,254076450,19500.0,8319.0,158745000.0,1280.0,556600000.0,35420.0,72.0,2550240.0
2023-07-02,13221,19303.0,1.8291304347826087,22643.478260869564,445140200,19500.0,8319.0,158745000.0,1280.0,556600000.0,35420.0,72.0,2550240.0
2023-07-03,15294,25471.0,1.8960000000000001,22253.333333333332,572989280,12000.0,8700.0,104400000.0,800.0,345200000.0,75222.22222222222,58.0,2939000.0
2023-07-04,16598,27207.2,1.8696969696969699,22236.363636363636,606960540,24600.0,8237.5,203310000.0,1280.0,551400000.0,230000.0,5.0,1150000.0
2023-07-05,25348,41648.8,1.6744776119402984,22652.238805970148,948324080,24600.0,8237.5,203310000.0,960.0,413400000.0,230000.0,1.0,230000.0
2023-07-06,13702,23945.8,1.7913513513513515,22500.0,538829720,14000.0,7988.0,111832000.0,640.0,276400000.0,85772.41666666667,182.0,10156287.0
2023-07-07,8954,13303.7,1.6673913043478261,22591.304347826088,304236130,25000.0,8200.0,204000000.0,1120.0,478800000.0,94800.0,56.0,4178000.0
2023-07-08,13488,22642.0,1.766764705882353,22708.823529411766,511504680,15500.0,7616.666666666667,122325000.0,640.0,275200000.0,40249.5,117.0,4062156.0
2023-07-09,13392,26117.2,1.9981081081081082,22027.027027027027,588150860,15500.0,7616.666666666667,122325000.0,640.0,275200000.0,40249.5,117.0,4062156.0
2023-07-10,11381,23431.3,2.0272972972972974,22700.0,530303050,15500.0,7616.666666666667,122325000.0,960.0,418400000.0,51231.05882352941,426.0,14853246.0
2023-07-11,12983,26684.7,2.0845454545454545,22759.090909090908,606835920,14200.0,7560.0,108360000.0,480.0,210600000.0,84313.02173913043,405.5,15976927.0
2023-07-12,11154,24110.7,2.184871794871795,22610.25641025641,545697260,43400.0,8293.75,372160000.0,480.0,208400000.0,84313.02173913043,405.5,15976927.0
2023-07-13,13862,26192.6,2.0572340425531914,22591.489361702126,591631470,43400.0,8293.75,372160000.0,800.0,346100000.0,30498.0,15017.0,1735600.0
2023-07-14,13497,26161.1,1.9775675675675677,22643.243243243243,591806990,21000.0,7900.0,173750000.0,640.0,275000000.0,30498.0,15017.0,1735600.0
2023-07-15,10500,21515.4,2.00875,22337.5,483230290,33000.0,8275.0,271800000.0,480.0,205200000.0,93243.75,124.0,8581400.0
2023-07-16,12342,22420.2,2.0316666666666667,22736.666666666668,514198110,33000.0,8275.0,271800000.0,480.0,205200000.0,81124.86666666667,93.7,3255137.0
2023-07-17,11865,23568.1,2.0686666666666667,22336.666666666668,525492860,33000.0,8275.0,271800000.0,800.0,347200000.0,81124.86666666667,93.7,3255137.0
2023-07-18,6987,11850.1,1.7010526315789474,21921.052631578947,259530900,31500.0,8283.333333333334,265150000.0,1120.0,487900000.0,48001.0,43.0,2701470.0
2023-07-19,7412,12519.4,1.7147368421052631,21921.052631578947,275152550,21500.0,8416.666666666666,180850000.0,0.0,0.0,48001.0,43.0,2701470.0
2023-07-20,3949,7126.8,1.7600000000000002,21540.0,152048750,21500.0,8416.666666666666,180850000.0,640.0,275800000.0,56267.5,189.0,8357100.0
2023-07-21,15395,24183.3,1.6751724137931034,20513.793103448275,493388790,20000.0,8000.0,162250000.0,480.0,212200000.0,2219250.0,26.0,6130500.0
2023-07-22,10315,17573.6,1.8708695652173915,20147.82608695652,358336250,26000.0,8600.0,223150000.0,560.0,242000000.0,88826.69230769231,172.0,10127551.0
2023-07-23,9385,18248.2,1.9377777777777778,19711.11111111111,365804630,5400.0,8750.0,47250000.0,560.0,242000000.0,88826.69230769231,172.0,10127551.0
2023-07-24,10492,21138.6,2.0412500000000002,19755.0,417363420,5400.0,8750.0,47250000.0,760.0,331600000.0,86383.27777777778,288.0,12628758.0
2023-07-25,11807,20843.1,1.9245161290322579,19477.41935483871,412772610,49000.0,7833.333333333333,404800000.0,480.0,206600000.0,39963.857142857145,163.0,5536910.0
2023-07-26,5630,10697.9,2.0034615384615386,18815.384615384617,201412110,19000.0,7975.0,160600000.0,960.0,409100000.0,39963.857142857145,163.0,5536910.0
2023-07-27,4406,9304.2,2.0905882352941174,18164.70588235294,169026360,19000.0,7975.0,160600000.0,1120.0,485000000.0,64096.333333333336,25824.0,8711353.0
2023-07-28,5871,10389.9,1.709375,16743.75,187854980,10000.0,7850.0,78500000.0,400.0,171800000.0,64096.333333333336,25824.0,8711353.0
2023-07-29,9685,19788.2,2.043333333333333,17261.904761904763,342277640,17000.0,8650.0,147800000.0,960.0,420800000.0,64096.333333333336,25824.0,8711353.0
2023-07-30,5857,8877.800000000001,2.011111111111111,17944.444444444445,170738680,4000.0,8400.0,33600000.0,0.0,0.0,64096.333333333336,25824.0,8711353.0
2023-07-31,7296,14248.0,1.9930769230769232,17561.53846153846,252613680,4000.0,8400.0,33600000.0,890.0,381650000.0,115034.77777777778,99.0,6377641.0
2023-08-01,6679,14096.8,2.0827272727272725,17631.81818181818,246187530,26000.0,7000.0,182000000.0,700.0,298500000.0,57834.94871794872,582.0,15840372.0
2023-08-02,14930,22928.6,2.07125,18375.0,444478900,26000.0,7000.0,182000000.0,900.0,384700000.0,29116.0,5402.0,291887.0
2023-08-03,3395,5293.5,2.27,18850.0,103414650,26000.0,7000.0,182000000.0,800.0,342400000.0,29116.0,5402.0,291887.0
2023-08-04,8172,16131.6,2.183157894736842,18705.263157894737,307960260,26000.0,7000.0,182000000.0,800.0,353200000.0,29116.0,5402.0,291887.0
2023-08-05,9148,15674.3,2.01125,19350.0,310686760,50000.0,8068.75,406150000.0,638.0,277012500.0,31855.277777777777,8284.0,6530826.0
2023-08-06,10812,22496.0,2.2023076923076923,19238.46153846154,439904600,50000.0,8068.75,406150000.0,638.0,277012500.0,31855.277777777777,8284.0,6530826.0
2023-08-07,21307,32886.4,1.888,19891.428571428572,671568160,50000.0,8068.75,406150000.0,1820.0,810975000.0,53202.52173913043,10233.0,9974180.0
2023-08-08,7903,14937.0,1.9822727272727272,20427.272727272728,305479840,50000.0,8068.75,406150000.0,600.0,274550000.0,49898.63636363636,10126.0,6932390.0
2023-08-09,7974,13491.1,1.7677777777777777,20970.37037037037,282082050,50000.0,8068.75,406150000.0,590.0,261287500.0,37696.4,14165.0,7066566.0
2023-08-10,10863,20175.5,1.9555172413793103,21279.310344827587,431666350,50000.0,8068.75,406150000.0,640.0,284900000.0,202591.0,16006.0,2950860.0
2023-08-11,11350,22481.0,2.0578260869565215,21204.347826086956,476685500,11000.0,7938.0,87318000.0,865.0,383931250.0,202591.0,16006.0,2950860.0
2023-08-12,10962,19920.4,1.8832,20356.0,411307450,16000.0,6900.0,110400000.0,615.0,274193750.0,202591.0,16006.0,2950860.0
2023-08-13,11759,23501.5,1.972258064516129,21219.354838709678,493244450,16000.0,6900.0,110400000.0,0.0,0.0,202591.0,16006.0,2950860.0
2023-08-14,12929,26152.7,2.1205128205128205,20669.23076923077,540104910,16000.0,6900.0,110400000.0,1010.0,437375000.0,34994.0,5014.0,839888.0
2023-08-15,13751,29546.7,2.230625,20265.625,596417530,16000.0,6900.0,110400000.0,560.0,243700000.0,34994.0,5014.0,839888.0
2023-08-16,8380,17588.6,2.0853125,20000.0,354242580,16000.0,6900.0,110400000.0,700.0,308275000.0,51837.82352941176,155.0,5403570.0
2023-08-17,9474,18327.9,1.9743333333333333,20270.0,370563270,16000.0,6900.0,110400000.0,-46.0,-20527500.0,51837.82352941176,155.0,5403570.0
2023-08-18,12968,24855.6,2.2324,20776.0,519025350,15000.0,8375.0,125625000.0,1920.0,839875000.0,78892.51612903226,412.0,22266502.0
2023-08-19,8187,17492.9,2.1395652173913042,20686.956521739132,357831600,33000.0,8008.333333333333,262450000.0,800.0,354300000.0,78892.51612903226,412.0,22266502.0
2023-08-20,11969,21722.3,2.055454545454545,20281.81818181818,453288190,33000.0,8008.333333333333,262450000.0,-31.0,-13330000.0,78892.51612903226,412.0,22266502.0
2023-08-21,29889,53708.5,1.9158333333333333,20738.333333333332,1112785210,33000.0,8008.333333333333,262450000.0,787.0,345307500.0,414900.0,5.0,2074500.0
